,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref
143,Massendjo,D227,F,Boucyboucy,Enfant,NA,2766.452284,2925.08006,Dongou,Boucyboucy,NA,Massendjo,NA,NA,NA,NA,NA,NA,0
144,Ndzoumbele,D228,F,Boucyboucy,Adulte,2,5382.804054,28161.31211,Dongou,NA,NA,NA,NA,Bangui,NA,NA,NA,NA,D226
145,Massendjo,D229,F,Boucyboucy,Enfant,NA,2607.824507,74720.04786,Dongou,Boucyboucy,NA,Massendjo,NA,NA,NA,NA,NA,NA,0
146,Tangassi,D23,M,Boucyboucy,Adulte,NA,28161.31211,74720.04786,Dongou,NA,NA,NA,NA,Boucyboucy,NA,NA,NA,NA,D22
147,Ndzoumbele,D230,F,Boucyboucy,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,NA,Ndzoumbele,NA,NA,NA,NA,NA,NA,0
148,Ndzoumbele,D231,F,Boucyboucy,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,NA,Ndzoumbele,NA,NA,NA,NA,NA,NA,0
149,Ndzoumbele,D232,F,Boucyboucy,Adulte,2,5382.804054,74720.04786,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
150,Ndzoumbele,D233,M,Boucyboucy,Enfant,NA,28161.31211,28161.31211,Dongou,Boucyboucy,Bangui,Ndzoumbele,Ndzoumbele,NA,NA,NA,NA,NA,0
151,Ndzoumbele,D234,M,Boucyboucy,Enfant,NA,2925.08006,28161.31211,Dongou,Boucyboucy,Bangui,Ndzoumbele,Ndzoumbele,NA,NA,NA,NA,NA,0
152,Mabanga1,D235,F,Boucyboucy,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,Boucyboucy,Mabanga1,Mabanga1,NA,NA,NA,NA,NA,0
153,Mabanga1,D236,F,Boucyboucy,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,Boucyboucy,Mabanga1,Mabanga1,NA,NA,NA,NA,NA,0
154,Mabanga1,D237,F,Boucyboucy,Enfant,NA,13299.49668,28161.31211,Dongou,Boucyboucy,Boucyboucy,Mabanga1,Mabanga1,NA,NA,NA,NA,NA,0
